1;fr;Quel est le surnom donné à la ville américaine de New York ?;Grosse Pomme;Petite Poire;Longue Banane;Orange Épaisse;Débutant;En 1971, cette expression prit toute son ampleur grâce à Charles Gillett qui lança une publicité sur le thème de la Big Apple.;https://fr.wikipedia.org/wiki/New_York
2;fr;Quelle ville italienne a pour surnom la cité des Doges ?;Venise;Milan;Naples;Turin;Débutant;Le doge était le premier magistrat de plusieurs républiques d'Italie, particulièrement de Venise et de Gênes.;https://fr.wikipedia.org/wiki/Venise
3;fr;Quel surnom est donné à la ville de Las Vegas, dans le comté de Clark ?;Ville du Péché;Ville des Vents;Ville émeraude;Ville fantôme;Débutant;La légalisation des jeux d'argent en 1931 a vu naître dans la ville des casinos, des hôtels ainsi que le développement de la prostitution.;https://fr.wikipedia.org/wiki/Las_Vegas
4;fr;Quelle capitale est surnommée la ville aux sept collines ?;Rome;Sofia;Varsovie;Budapest;Débutant;Le centre historique de Rome est dominé par les sept collines : Aventin, Caelius, Capitole, Esquilin, Palatin, Quirinal et Viminal.;https://fr.wikipedia.org/wiki/Rome
5;fr;Quelle ville italienne est surnommée la capitale des arts ?;Florence;Syracuse;Rimini;Pescara;Débutant;Les Corporations d'arts et métiers médiévales de Florence représentent les sept arts majeurs et leurs techniques.;https://fr.wikipedia.org/wiki/Florence
6;fr;Quel est le surnom donné à la ville de Los Angeles, en Californie ?;Cité des Anges;Ville du Péché;Grosse Pomme;Capitale des Arts;Débutant;La cathédrale Notre-Dame des anges est aussi haute qu'un immeuble de 12 étages et peut accueillir plus de 3 000 fidèles.;https://fr.wikipedia.org/wiki/Los_Angeles
7;fr;Laquelle de ces villes est surnommée la ville Sainte ?;Jérusalem;Beyrouth;Téhéran;Abou Dabi;Débutant;Jérusalem est une ville du Proche-Orient que les Israéliens ont érigée en capitale et que les Palestiniens souhaitent comme capitale.;https://fr.wikipedia.org/wiki/Jérusalem
8;fr;Quelle ville est parfois reconnue comme capitale mondiale de la mode ?;Rome;La Haye;Bruxelles;Austin;Débutant;Malgré très peu de grands magasins, la place d'Espagne est à la fois le coeur du quartier commerçant de Rome et le fief de la mode.;https://fr.wikipedia.org/wiki/Rome
9;fr;Quelle ville allemande est surnommée la ville des ours ?;Berlin;Munich;Cologne;Hambourg;Débutant;Chaque année, en février, la Berlinale, festival international de cinéma, offre la récompense suprême qui est l'Ours d'Or.;https://fr.wikipedia.org/wiki/Berlin
10;fr;Quel est le surnom donné à la ville de Detroit, dans le Michigan ?;Ville du Moteur;Ville des Vents;Ville émeraude;Ville des Ours;Débutant;Entre 1900 et 1930, l'industrie automobile lui a donné son surnom de Motor City et a été à l'origine de son développement.;https://fr.wikipedia.org/wiki/Détroit_(Michigan)
11;fr;Quelle ville était autrefois surnommée le Petit Paris des Balkans ?;Bucarest;Budapest;Varsovie;Prague;Confirmé;L'influence française sur une partie de l'architecture bucarestoise fut autrefois telle que Bucarest était appelée le « Petit Paris ».;https://fr.wikipedia.org/wiki/Bucarest
12;fr;Quel est le surnom donné à la ville de Grenoble, en France ?;Capitale des Alpes;Ville des Vents;Cité du Lion;Ville de l'acier;Confirmé;C'est le fait d'être la plus grande métropole alpine, devant Innsbruck et Bolzano, qui vaut à Grenoble le surnom de « capitale des Alpes ».;https://fr.wikipedia.org/wiki/Grenoble
13;fr;Quelle ville a gagné son surnom de capitale de l'automobile ?;Turin;Marseille;Berlin;Pittsburgh;Confirmé;Turin est devenu un centre industriel important au cours de la première partie du XXe siècle, grâce à l'industrie automobile.;https://fr.wikipedia.org/wiki/Turin
14;fr;Quel est le surnom donné à la célèbre ville côtière de Miami ?;Magic City;Steel City;River City;Fog City;Confirmé;« Magic City » est une série télévisée américaine en seize épisodes de 50 minutes créée par Mitch Glazer ayant pour décors Miami.;https://fr.wikipedia.org/wiki/Miami
15;fr;Quelle ville égyptienne est surnommée la ville aux mille minarets ?;Le Caire;Louxor;Alexandrie;Suez;Confirmé;Le centre historique de la ville du Caire comprend le Vieux Caire ainsi que le quartier islamique, classé au patrimoine mondial.;https://fr.wikipedia.org/wiki/Le_Caire
